Date,SCHW_BK,PLD_AMT,TM_KMX,KO_PEP,COST_DG,PRU_LNC,ALL_GL
2010-06-30,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
2010-07-01,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
2010-07-02,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0
2010-07-06,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
2010-07-07,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2010-07-08,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
2010-07-09,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0
2010-07-12,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2010-07-13,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
2010-07-14,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2010-07-15,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
2010-07-16,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0
2010-07-19,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
2010-07-20,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
2010-07-21,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
2010-07-22,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2010-07-23,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
2010-07-26,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
2010-07-27,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2010-07-28,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0
2010-07-29,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
2010-07-30,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
2010-08-02,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
2010-08-03,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
2010-08-04,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2010-08-05,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
2010-08-06,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
2010-08-09,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0
2010-08-10,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
2010-08-11,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0
2010-08-12,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0
2010-08-13,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
2010-08-16,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2010-08-17,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
2010-08-18,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
2010-08-19,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
2010-08-20,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
2010-08-23,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
2010-08-24,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
2010-08-25,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
2010-08-26,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
2010-08-27,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2010-08-30,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
2010-08-31,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2010-09-01,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
2010-09-02,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
2010-09-03,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
2010-09-07,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
2010-09-08,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2010-09-09,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
2010-09-10,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
2010-09-13,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
2010-09-14,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
2010-09-15,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
2010-09-16,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
2010-09-17,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2010-09-20,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
2010-09-21,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
2010-09-22,-0.0,-0.0,-1.0419826046129273e-48,0.0,0.0,0.0,0.0
2010-09-23,0.0,-0.0,-8.9251819801401e-47,-0.0,0.0,0.0,0.0
2010-09-24,-0.0,0.0,1.153785991761191e-48,0.0,-0.0,-0.0,0.0
2010-09-27,0.0,-0.0,-0.0,-0.0,-2.032412033582223,0.0,0.0
2010-09-28,0.0,0.0,0.0,0.0,-60.37212000271775,-0.0,0.0
2010-09-29,-0.0,0.0,-0.0,-0.0,15.809792954916494,0.0,-0.0
2010-09-30,-0.0,0.0,-0.0,-0.0,10.940952166459882,-0.0,0.0
2010-10-01,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2010-10-04,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
2010-10-05,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
2010-10-06,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
2010-10-07,0.0,0.0,-0.0,-0.31415799736282146,-0.0,0.0,0.0
2010-10-08,-0.0,-0.0,-0.0,-1.007305087181141,-0.0,-0.0,-0.0
2010-10-11,-0.0,0.0,-0.0,-0.09577326883554887,0.0,-0.0,0.0
2010-10-12,0.0,-0.0,-0.0,0.0008117418010839836,0.0,0.0,-0.0
2010-10-13,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
2010-10-14,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0
2010-10-15,-4.9096372499127545,0.0,-0.0,0.0,0.0,0.0,-0.0
2010-10-18,39.550241912783335,0.0,0.0,0.0,-0.0,-0.0,-0.0
2010-10-19,-151.84853225119144,-0.0,-0.0,-1.891267074034939e-07,0.0,0.0,0.0
2010-10-20,-196.6570492490209,-6.044796084370775e-12,-0.0,-6.048026473917078e-06,0.0,-0.0,-0.0
2010-10-21,-11.45370770683762,-2.2573597778543708e-10,0.0,-3.8656770346427154e-09,0.0,-0.0,-0.0
2010-10-22,-23.15434173467925,-4.609702108071852e-10,-0.0,-2.559609534627327e-10,-0.0,-0.0,0.0
2010-10-25,-2.5974778603887367,-0.0,-0.0,7.861109969251369e-11,-0.0,0.0,0.0
2010-10-26,0.0057295410559712245,-0.0,-0.0,0.0,0.0,0.0,-4.259932821705602e-10
2010-10-27,-0.002819698460477491,0.0,0.0,0.0,0.0,0.0,-2.6886189283151793e-09
2010-10-28,0.0001177131540534305,-0.0,0.0,-0.0,-0.0,0.0,-1.8756517802348109e-07
2010-10-29,-0.00014004327664416844,0.0,-0.0,0.0,-0.0,0.0,0.0
2010-11-01,-0.00016901809527778054,0.0,-0.0,0.0,0.0,0.0,0.0
2010-11-02,0.0007038129221409408,0.0,-0.0,0.0,-0.0,-0.0,-0.0
