Date,SCHW_BK,PLD_AMT,TM_KMX,KO_PEP,COST_DG,PRU_LNC,ALL_GL
2010-06-29,,,,,,,
2010-06-30,,,,,,,
2010-07-01,,,,,,,
2010-07-02,,,,,,,
2010-07-06,,,,,,,
2010-07-07,,,,,,,
2010-07-08,,,,,,,
2010-07-09,,,,,,,
2010-07-12,,,,,,,
2010-07-13,,,,,,,
2010-07-14,,,,,,,
2010-07-15,,,,,,,
2010-07-16,,,,,,,
2010-07-19,,,,,,,
2010-07-20,,,,,,,
2010-07-21,,,,,,,
2010-07-22,,,,,,,
2010-07-23,,,,,,,
2010-07-26,,,,,,,
2010-07-27,,,,,,,
2010-07-28,,,,,,,
2010-07-29,,,,,,,
2010-07-30,,,,,,,
2010-08-02,,,,,,,
2010-08-03,,,,,,,
2010-08-04,,,,,,,
2010-08-05,,,,,,,
2010-08-06,,,,,,,
2010-08-09,,,,,,,
2010-08-10,,,,,,,
2010-08-11,,,,,,,
2010-08-12,,,,,,,
2010-08-13,,,,,,,
2010-08-16,,,,,,,
2010-08-17,,,,,,,
2010-08-18,,,,,,,
2010-08-19,,,,,,,
2010-08-20,,,,,,,
2010-08-23,,,,,,,
2010-08-24,,,,,,,
2010-08-25,,,,,,,
2010-08-26,,,,,,,
2010-08-27,,,,,,,
2010-08-30,,,,,,,
2010-08-31,,,,,,,
2010-09-01,,,,,,,
2010-09-02,,,,,,,
2010-09-03,,,,,,,
2010-09-07,,,,,,,
2010-09-08,,,,,,,
2010-09-09,,,,,,,
2010-09-10,,,,,,,
2010-09-13,,,,,,,
2010-09-14,,,,,,,
2010-09-15,,,,,,,
2010-09-16,,,,,,,
2010-09-17,,,,,,,
2010-09-20,,,,,,,
2010-09-21,,,,,,,
2010-09-22,-0.5749078058662787,-0.5825913832552262,-2.4358226429241814,-0.2185856500258403,1.2160579017112656,1.574472560328682,0.8267330814072923
2010-09-23,-0.07136990666670139,-0.7914687595828178,-1.2255018924997483,0.799253040433931,0.7746853327708689,0.08954559179095059,0.7882233922080403
2010-09-24,-0.08740416824043001,0.46115026653493363,0.4403727434172972,0.9399860756642319,-0.30873001265051186,-0.4890185791613404,1.0268871700992024
2010-09-27,0.8802068290695464,-0.6235737713533127,0.0840638183861356,-0.7062834598336194,-2.7784596375738673,0.4883810851275462,1.202459949053688
2010-09-28,0.8122077169010538,0.7090084253249649,0.3436228407500238,0.09196522140651113,-0.31896193790828814,-0.48513976574221906,1.7323120824023854
2010-09-29,-0.595680626473104,0.5405618885387216,-0.01596473438904555,-0.9156766376004718,-0.013374260739966747,0.6270652131272467,-0.8979266887539641
2010-09-30,-1.091829387722454,0.8363259836158902,-0.5575007089487701,-0.1447485709361303,0.28813358765129105,-1.8905203764162355,0.22203917335240017
